iter	Passed	Remaining
725	18746	7075
726	18771	7049
727	18796	7022
728	18822	6997
729	18848	6971
730	18876	6946
731	18901	6920
732	18928	6894
733	18955	6869
734	18980	6843
735	19008	6818
736	19035	6792
737	19064	6768
738	19092	6742
739	19119	6717
740	19147	6692
741	19174	6667
742	19200	6641
743	19226	6615
744	19254	6590
745	19281	6564
746	19309	6539
747	19335	6514
748	19363	6488
749	19390	6463
750	19415	6437
751	19444	6412
752	19471	6386
753	19496	6360
754	19523	6335
755	19548	6309
756	19574	6283
757	19600	6257
758	19625	6231
759	19652	6205
760	19676	6179
761	19703	6154
762	19729	6128
763	19754	6102
764	19779	6075
765	19806	6050
766	19832	6024
767	19860	5999
768	19885	5973
769	19910	5947
770	19936	5921
771	19961	5895
772	19986	5869
773	20010	5842
774	20036	5817
775	20061	5791
776	20087	5765
777	20113	5739
778	20140	5713
779	20166	5687
780	20191	5662
781	20220	5636
782	20246	5611
783	20273	5585
784	20299	5559
785	20324	5533
786	20354	5508
787	20384	5484
788	20412	5458
789	20441	5433
790	20467	5407
791	20492	5381
792	20518	5356
793	20543	5330
794	20570	5304
795	20595	5278
796	20620	5252
797	20644	5225
798	20669	5199
799	20695	5173
800	20719	5147
801	20744	5121
802	20770	5095
803	20796	5069
804	20820	5043
805	20847	5017
806	20870	4991
807	20896	4965
808	20920	4939
809	20944	4912
810	20968	4886
811	20994	4860
812	21018	4834
813	21045	4808
814	21069	4782
815	21094	4756
816	21119	4730
817	21143	4704
818	21169	4678
819	21194	4652
820	21218	4626
821	21243	4600
822	21268	4574
823	21293	4548
824	21318	4522
825	21344	4496
826	21368	4470
827	21395	4444
828	21421	4418
829	21446	4392
830	21471	4366
831	21496	4340
832	21521	4314
833	21547	4288
834	21574	4263
835	21600	4237
836	21627	4211
837	21652	4185
838	21678	4160
839	21704	4134
840	21730	4108
841	21757	4082
842	21781	4056
843	21808	4030
844	21835	4005
845	21861	3979
846	21887	3953
847	21915	3928
848	21944	3903
849	21974	3877
850	22001	3852
851	22030	3826
852	22059	3801
853	22088	3776
854	22116	3750
855	22143	3725
856	22169	3699
857	22196	3673
858	22222	3647
859	22247	3621
860	22273	3595
861	22297	3569
862	22324	3544
863	22353	3518
864	22379	3492
865	22404	3466
866	22429	3440
867	22454	3414
868	22479	3388
869	22505	3362
870	22531	3336
871	22556	3311
872	22583	3285
873	22608	3259
874	22636	3233
875	22660	3207
876	22687	3181
877	22711	3155
878	22738	3130
879	22763	3104
880	22788	3078
881	22813	3052
882	22839	3026
883	22863	3000
884	22889	2974
885	22915	2948
886	22941	2922
887	22967	2896
888	22992	2870
889	23018	2844
890	23044	2819
891	23069	2793
892	23093	2767
893	23119	2741
894	23143	2715
895	23168	2689
896	23195	2663
897	23221	2637
898	23245	2611
899	23271	2585
900	23299	2560
901	23323	2534
902	23351	2508
903	23375	2482
904	23402	2456
905	23429	2430
906	23455	2405
907	23481	2379
908	23508	2353
909	23535	2327
910	23563	2302
911	23589	2276
912	23616	2250
913	23643	2224
914	23669	2198
915	23696	2173
916	23722	2147
917	23748	2121
918	23773	2095
919	23799	2069
920	23826	2043
921	23850	2017
922	23876	1991
923	23901	1965
924	23926	1940
925	23950	1913
926	23976	1888
